calendar-year,need,mean,std-dev,iqr,min,low-95pc-bound,q1,median,q3,high-95pc-bound,max,low-ci,high-ci
2017,Y,228.0,0.0,0.0,228.0,228.0,228.0,228.0,228.0,228.0,228.0,228.0,228.0
2017,W,39.0,0.0,0.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0
2017,U,471.0,0.0,0.0,471.0,471.0,471.0,471.0,471.0,471.0,471.0,471.0,471.0
2017,X,220.0,0.0,0.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0
2017,T,1144.0,0.0,0.0,1144.0,1144.0,1144.0,1144.0,1144.0,1144.0,1144.0,1144.0,1144.0
2017,V,51.0,0.0,0.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0
2018,T,1231.0,24.05,24.0,1182.0,1182.0,1220.0,1222.0,1244.0,1272.0,1272.0,1216.09,1245.91
2018,Y,239.8,8.0,7.0,229.0,229.0,235.0,238.0,242.0,260.0,260.0,234.84,244.76
2018,U,514.9,9.9,10.0,500.0,500.0,509.0,514.0,519.0,536.0,536.0,508.76,521.04
2018,X,236.9,8.87,13.0,223.0,223.0,231.0,234.0,244.0,251.0,251.0,231.4,242.4
2018,W,38.5,5.48,6.0,26.0,26.0,36.0,39.0,42.0,47.0,47.0,35.1,41.9
2018,V,51.0,3.52,4.0,45.0,45.0,49.0,50.0,53.0,57.0,57.0,48.82,53.18
2019,Y,252.6,9.99,11.0,236.0,236.0,247.0,249.0,258.0,275.0,275.0,246.41,258.79
2019,W,29.9,6.43,5.0,15.0,15.0,29.0,30.0,34.0,38.0,38.0,25.92,33.88
2019,U,545.6,18.85,14.0,517.0,517.0,540.0,540.0,554.0,590.0,590.0,533.92,557.28
2019,X,244.8,7.28,12.0,234.0,234.0,238.0,242.0,250.0,257.0,257.0,240.29,249.31
2019,T,1301.8,28.73,43.0,1246.0,1246.0,1286.0,1287.0,1329.0,1348.0,1348.0,1284.0,1319.6
2019,V,50.5,3.14,3.0,46.0,46.0,49.0,50.0,52.0,57.0,57.0,48.55,52.45
2020,Y,258.9,15.52,21.0,241.0,241.0,245.0,256.0,266.0,295.0,295.0,249.28,268.52
2020,W,29.2,6.35,8.0,16.0,16.0,26.0,28.0,34.0,38.0,38.0,25.26,33.14
2020,X,257.4,10.86,11.0,242.0,242.0,252.0,254.0,263.0,279.0,279.0,250.67,264.13
2020,T,1365.5,24.39,41.0,1333.0,1333.0,1340.0,1372.0,1381.0,1408.0,1408.0,1350.39,1380.61
2020,V,50.5,4.18,5.0,43.0,43.0,49.0,50.0,54.0,58.0,58.0,47.91,53.09
2020,U,563.7,23.48,38.0,535.0,535.0,541.0,553.0,579.0,614.0,614.0,549.15,578.25
2021,T,1422.8,30.03,43.0,1353.0,1353.0,1408.0,1413.0,1451.0,1457.0,1457.0,1404.19,1441.41
2021,Y,264.2,12.25,8.0,244.0,244.0,259.0,261.0,267.0,286.0,286.0,256.61,271.79
2021,U,586.8,23.08,36.0,542.0,542.0,571.0,580.0,607.0,623.0,623.0,572.49,601.11
2021,X,263.9,20.07,29.0,231.0,231.0,248.0,256.0,277.0,299.0,299.0,251.46,276.34
2021,W,27.4,6.44,5.0,18.0,18.0,24.0,26.0,29.0,44.0,44.0,23.41,31.39
2021,V,49.8,5.0,6.0,39.0,39.0,47.0,48.0,53.0,57.0,57.0,46.7,52.9
2022,T,1485.0,20.26,35.0,1454.0,1454.0,1472.0,1483.0,1507.0,1515.0,1515.0,1472.44,1497.56
2022,Y,268.5,7.47,16.0,258.0,258.0,259.0,267.0,275.0,280.0,280.0,263.87,273.13
2022,U,598.4,19.4,31.0,566.0,566.0,585.0,599.0,616.0,627.0,627.0,586.37,610.43
2022,X,269.5,22.38,40.0,228.0,228.0,247.0,273.0,287.0,296.0,296.0,255.63,283.37
2022,V,49.7,5.69,8.0,41.0,41.0,46.0,47.0,54.0,61.0,61.0,46.17,53.23
2022,W,22.5,3.04,3.0,20.0,20.0,20.0,22.0,23.0,31.0,31.0,20.61,24.39
